EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 DD   : Wind direction in degrees
30-34 Q_DD : quality code for DD (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station CORDOBA AEROPUERTO, SPAIN (STAID: 337)
Blended and updated with sources:20049 908410 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   DD, Q_DD
   337, 20049,19600810,-9999,    9
   337, 20049,19600811,-9999,    9
   337, 20049,19600812,-9999,    9
   337, 20049,19600813,-9999,    9
   337, 20049,19600814,-9999,    9
   337, 20049,19600815,-9999,    9
   337, 20049,19600816,-9999,    9
   337, 20049,19600817,-9999,    9
   337, 20049,19600818,-9999,    9
   337, 20049,19600819,-9999,    9
   337, 20049,19600820,-9999,    9
   337, 20049,19600821,-9999,    9
   337, 20049,19600822,-9999,    9
   337, 20049,19600823,-9999,    9
   337, 20049,19600824,-9999,    9
   337, 20049,19600825,-9999,    9
   337, 20049,19600826,-9999,    9
   337, 20049,19600827,-9999,    9
   337, 20049,19600828,-9999,    9
   337, 20049,19600829,-9999,    9
   337, 20049,19600830,-9999,    9
   337, 20049,19600831,-9999,    9
   337, 20049,19600901,-9999,    9
   337, 20049,19600902,-9999,    9
   337, 20049,19600903,-9999,    9
   337, 20049,19600904,-9999,    9
   337, 20049,19600905,-9999,    9
   337, 20049,19600906,-9999,    9
   337, 20049,19600907,-9999,    9
   337, 20049,19600908,-9999,    9
   337, 20049,19600909,-9999,    9
   337, 20049,19600910,-9999,    9
   337, 20049,19600911,-9999,    9
   337, 20049,19600912,-9999,    9
   337, 20049,19600913,-9999,    9
   337, 20049,19600914,-9999,    9
   337, 20049,19600915,-9999,    9
   337, 20049,19600916,-9999,    9
   337, 20049,19600917,-9999,    9
   337, 20049,19600918,-9999,    9
   337, 20049,19600919,-9999,    9
   337, 20049,19600920,-9999,    9
   337, 20049,19600921,-9999,    9
   337, 20049,19600922,-9999,    9
   337, 20049,19600923,-9999,    9
   337, 20049,19600924,-9999,    9
   337, 20049,19600925,-9999,    9
   337, 20049,19600926,-9999,    9
   337, 20049,19600927,-9999,    9
   337, 20049,19600928,-9999,    9
   337, 20049,19600929,-9999,    9
   337, 20049,19600930,-9999,    9
   337, 20049,19601001,-9999,    9
   337, 20049,19601002,-9999,    9
   337, 20049,19601003,-9999,    9
   337, 20049,19601004,-9999,    9
   337, 20049,19601005,-9999,    9
   337, 20049,19601006,-9999,    9
   337, 20049,19601007,-9999,    9
   337, 20049,19601008,-9999,    9
   337, 20049,19601009,-9999,    9
   337, 20049,19601010,-9999,    9
   337, 20049,19601011,-9999,    9
   337, 20049,19601012,-9999,    9
   337, 20049,19601013,-9999,    9
   337, 20049,19601014,-9999,    9
   337, 20049,19601015,-9999,    9
   337, 20049,19601016,-9999,    9
   337, 20049,19601017,-9999,    9
   337, 20049,19601018,-9999,    9
   337, 20049,19601019,-9999,    9
   337, 20049,19601020,-9999,    9
   337, 20049,19601021,-9999,    9
   337, 20049,19601022,-9999,    9
   337, 20049,19601023,-9999,    9
   337, 20049,19601024,-9999,    9
   337, 20049,19601025,-9999,    9
   337, 20049,19601026,-9999,    9
   337, 20049,19601027,-9999,    9
   337, 20049,19601028,-9999,    9
   337, 20049,19601029,-9999,    9
   337, 20049,19601030,-9999,    9
   337, 20049,19601031,-9999,    9
   337, 20049,19601101,-9999,    9
   337, 20049,19601102,-9999,    9
   337, 20049,19601103,-9999,    9
   337, 20049,19601104,-9999,    9
   337, 20049,19601105,-9999,    9
   337, 20049,19601106,-9999,    9
   337, 20049,19601107,-9999,    9
   337, 20049,19601108,-9999,    9
   337, 20049,19601109,-9999,    9
   337, 20049,19601110,-9999,    9
   337, 20049,19601111,-9999,    9
   337, 20049,19601112,-9999,    9
   337, 20049,19601113,-9999,    9
   337, 20049,19601114,-9999,    9
   337, 20049,19601115,-9999,    9
   337, 20049,19601116,-9999,    9
   337, 20049,19601117,-9999,    9
   337, 20049,19601118,-9999,    9
   337, 20049,19601119,-9999,    9
   337, 20049,19601120,-9999,    9
   337, 20049,19601121,-9999,    9
   337, 20049,19601122,-9999,    9
   337, 20049,19601123,-9999,    9
   337, 20049,19601124,-9999,    9
   337, 20049,19601125,-9999,    9
   337, 20049,19601126,-9999,    9
   337, 20049,19601127,-9999,    9
   337, 20049,19601128,-9999,    9
   337, 20049,19601129,-9999,    9
   337, 20049,19601130,-9999,    9
   337, 20049,19601201,-9999,    9
   337, 20049,19601202,-9999,    9
   337, 20049,19601203,-9999,    9
   337, 20049,19601204,-9999,    9
   337, 20049,19601205,-9999,    9
   337, 20049,19601206,-9999,    9
   337, 20049,19601207,-9999,    9
   337, 20049,19601208,-9999,    9
   337, 20049,19601209,-9999,    9
   337, 20049,19601210,-9999,    9
   337, 20049,19601211,-9999,    9
   337, 20049,19601212,-9999,    9
   337, 20049,19601213,-9999,    9
   337, 20049,19601214,-9999,    9
