EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 13-05-2019
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

 01- 05 STAID  : Station identifier
 07- 46 STANAME: Station name
 48- 49 CN     : Country code (ISO3116 countrycodes)
 51- 59 LAT    : Latitude in degrees:minutes:seconds (+: North, -: South)
 61- 70 LON    : Longitude in degrees:minutes:seconds (+: East, -: West)
 72- 76 HGTH   : Station elevation in meters

STAID,STANAME                                 ,CN,      LAT,       LON,HGHT
 2677,FET I EIDFJORD                          ,NO,+60:24:30,+007:16:46,  735
 2685,SLATTEROY FYR                           ,NO,+59:54:29,+005:04:05,   25
 2711,SUNNDALSORA III                         ,NO,+62:40:30,+008:33:32,    6
 2720,TRONDHEIM - VOLL                        ,NO,+63:24:38,+010:27:12,  127
 2726,NAMSSKOGAN                              ,NO,+64:44:31,+012:50:45,  140
 2727,NORDOYAN FYR                            ,NO,+64:47:52,+010:32:57,   33
 2733,BODOE - VAGONES                         ,NO,+67:16:59,+014:28:00,   33
 2750,TORSVAG FYR                             ,NO,+70:14:44,+019:30:02,   21
 2751,CUOVDDATMOHKKI                          ,NO,+69:22:00,+024:25:59,  286
 2754,MAKKAUR FYR                             ,NO,+70:42:02,+030:04:05,    9
 2756,SVEAGRUVA                               ,NO,+77:52:59,+016:43:00,    9
 2758,MUENSTER/OSNABRUECK (AIRPORT)           ,DE,+52:08:07,+007:42:00,   48
 2759,BERLIN-TEMPELHOF                        ,DE,+52:28:06,+013:24:14,   48
 2760,TRIER-PETRISBERG                        ,DE,+49:44:57,+006:39:33,  265
 2762,RHEINSTETTEN                            ,DE,+48:58:24,+008:19:51,  116
 2763,STUTTGART/ECHTERDINGEN                  ,DE,+48:41:21,+009:13:31,  371
 2764,MUENCHEN-FLUGHAFEN                      ,DE,+48:21:29,+011:48:33,  444
 2943,AKUREYRI                                ,IS,+65:41:08,-018:06:00,   23
 2969,BARCELONA/AEROPUERTO                    ,ES,+41:17:34,+002:04:11,    4
 2970,LANZAROTE/AEROPUERTO                    ,ES,+28:57:06,-013:36:01,   14
 3167,D15-FA-1                                ,NL,+54:19:32,+002:56:08,   42
 3168,K14-FA-1C                               ,NL,+53:16:09,+003:37:40,   41
 3169,A12-CPP                                 ,NL,+55:23:57,+003:48:37,   48
 3170,F16-A                                   ,NL,+54:07:00,+004:00:43,   43
 3171,L9-FF-1                                 ,NL,+53:36:51,+004:57:37,    0
 3172,AWG-1                                   ,NL,+53:29:30,+005:56:30,   40
 3173,IJMOND                                  ,NL,+52:27:48,+004:31:03,    0
 3174,J6-A                                    ,NL,+53:49:27,+002:56:43,   45
 3175,HOORN-A                                 ,NL,+52:55:05,+004:09:01,   50
 3176,IJMUIDEN                                ,NL,+52:27:43,+004:33:18,    4
 3177,TEXELHORS_MM                            ,NL,+52:59:42,+004:43:12,    1
 3178,WIJDENES                                ,NL,+52:37:57,+005:10:24,    0
 3179,K13                                     ,NL,+53:13:04,+003:13:13,   37
 3180,HOUTRIBDIJK                             ,NL,+52:38:53,+005:24:02,    7
 3181,HUIBERTGAT                              ,NL,+53:34:26,+006:23:53,    0
 3182,CADZAND                                 ,NL,+51:22:50,+003:22:50,    0
 3183,HOOFDPLAAT                              ,NL,+51:22:41,+003:40:19,    0
 3184,OOSTERSCHELDE                           ,NL,+51:46:00,+003:37:18,    0
 3185,VLAKTE_V.D._RAAN                        ,NL,+51:30:12,+003:14:30,    0
 3186,HANSWEERT                               ,NL,+51:26:44,+003:59:51,    0
 3187,SCHAAR                                  ,NL,+51:39:21,+003:41:39,    0
 3188,LICHTEILAND_GOEREE                      ,NL,+51:55:32,+003:40:12,   23
 3189,EUROPLATFORM                            ,NL,+51:59:52,+003:16:30,   19
 3190,STAVENISSE-1                            ,NL,+51:35:47,+004:00:21,    0
 3191,THOLEN                                  ,NL,+51:30:24,+004:07:04,    0
 3192,ROTTERDAM-GEULHAVEN                     ,NL,+51:53:30,+004:18:45,    3
 3506,STUTTGART-SCHNARRENBERG                 ,DE,+48:49:45,+009:12:03,  314
 3546,NEWPORT FURNACE                         ,IE,+53:55:18,-009:34:18,   23
 3547,DUNSANY GRANGE                          ,IE,+53:30:00,-006:42:00,   84
 3548,GURTEEN                                 ,IE,+53:01:48,-008:00:36,   76
 3549,MT DILLON                               ,IE,+54:43:36,-009:54:03,   40
 3550,MACE HEAD                               ,IE,+53:19:33,-009:54:03,   23
 3551,OAK PARK                                ,IE,+52:51:39,-006:54:54,   63
 3552,MOOREPARK                               ,IE,+52:09:50,-008:15:50,   47
 3553,BALLYHAISE                              ,IE,+54:03:03,-007:18:36,   79
 3554,SHERKIN ISLAND                          ,IE,+51:28:33,-009:25:41,   21
 3555,MULLINGAR                               ,IE,+53:32:12,-007:21:42,  101
 3838,ROTA                                    ,ES,+36:38:20,-006:19:54,   21
 3839,MADRID/TORREJON                         ,ES,+40:28:59,-003:27:01,  611
 3903,A CORUNA/ALVEDRO                        ,ES,+43:18:24,-008:22:19,   98
 3904,VITORIA AERODROMO                       ,ES,+42:51:02,-002:39:16,  521
 3905,VITORIA/FORONDA                         ,ES,+42:52:18,-002:43:59,  513
 3906,ALBACETE OBS.                           ,ES,+39:00:24,-001:51:38,  674
 3907,ALMERIA                                 ,ES,+36:49:59,-002:27:16,    7
 3908,ALMERIA/AEROPUERTO                      ,ES,+36:50:47,-002:21:24,   21
 3909,ASTURIAS/AVILES                         ,ES,+43:34:00,-006:02:39,  127
 3910,GIJON                                   ,ES,+43:32:17,-005:38:30,    3
 3911,GIJON LA MERCED                         ,ES,+43:32:17,-005:38:30,   22
 3912,GIJON MUSEL                             ,ES,+43:33:38,-005:41:54,    5
 3913,OVIEDO                                  ,ES,+43:21:15,-005:52:22,  336
 3914,AVILA                                   ,ES,+40:39:33,-004:40:48, 1130
 3915,AVILA-AYUNTAMIENTO                      ,ES,+40:39:20,-004:41:57, 1143
 3916,IBIZA/ESCODOLA                          ,ES,+38:52:35,+001:23:03,    6
 3917,MENORCA/MAO                             ,ES,+39:51:16,+004:12:56,   91
 3918,PALMA DE MALLORCA CMT                   ,ES,+39:33:20,+002:37:35,    3
 3919,PALMA DE MALLORCA / SON SAN JUAN        ,ES,+39:33:38,+002:44:12,    8
 3920,GIRONA-NOU INSTITUT                     ,ES,+41:58:44,+002:49:36,   97
 3921,CACERES CIUDAD                          ,ES,+39:28:59,-006:22:00,  459
 3922,SANTANDER CMT                           ,ES,+43:29:30,-003:47:58,   52
 3923,SANTANDER/PARAYAS                       ,ES,+43:25:45,-003:49:53,    5
 3924,CASTELLON                               ,ES,+39:57:00,-000:04:17,   35
 3926,CEUTA                                   ,ES,+35:53:24,-005:20:44,   87
 3927,CEUTA (MONTE HACHO)                     ,ES,+35:53:31,-005:17:21,  200
 3928,CIUDAD REAL (INSTITUTO)                 ,ES,+38:59:21,-003:55:42,  627
 3929,CUENCA                                  ,ES,+40:04:00,-002:08:17,  945
 3930,GIRONA (ANTIC INSTITUT)                 ,ES,+41:58:48,+002:49:31,   95
 3931,GIRONA/COSTA BRAVA                      ,ES,+41:54:42,+002:45:47,  143
 3932,GRANADA/AEROPUERTO                      ,ES,+37:11:22,-003:47:21,  567
 3933,GUADALAJARA                             ,ES,+40:39:39,-003:10:27,  639
 3935,MOLINA DE ARAGON                        ,ES,+40:50:39,-001:53:07, 1056
 3936,SAN SEBASTIAN/FUENTERRABIA              ,ES,+43:21:38,-001:47:13,    4
 3937,HUELVA                                  ,ES,+37:15:34,-006:56:57,   17
 3938,JAEN                                    ,ES,+37:46:40,-003:48:27,  582
 3939,JAEN (INSTITUTO)                        ,ES,+37:46:40,-003:47:17,  510
 3940,FUERTEVENTURA/AEROPUERTO                ,ES,+28:26:40,-013:51:47,   25
 3941,LAS PALMAS DE GRAN CANARIA/GANDO        ,ES,+27:55:21,-015:23:21,   24
 3942,LLEIDA                                  ,ES,+41:37:32,+000:35:42,  192
 3943,LLEIDA (OBSERVATORIO)                   ,ES,+41:37:06,+000:37:18,  191
 3944,LUGO/ROZAS                              ,ES,+43:06:55,-007:27:21,  445
 3945,COLMENAR VIEJO/FAMET                    ,ES,+40:41:54,-003:45:51, 1004
 3946,MADRID/BARAJAS                          ,ES,+40:28:00,-003:33:20,  609
 3947,MADRID/CUATROVIENTOS                    ,ES,+40:22:40,-003:47:21,  687
 3948,MADRID/GETAFE                           ,ES,+40:18:00,-003:43:21,  617
 3949,MURCIA/ALCANTARILLA                     ,ES,+37:57:28,-001:13:46,   85
 3951,OURENSE                                 ,ES,+42:19:40,-007:51:37,  143
 3953,PALENCIA (OBSERVATORIO)                 ,ES,+42:00:29,-004:32:07,  750
 3954,PONTEVEDRA                              ,ES,+42:26:24,-008:36:59,  108
 3956,SALAMANCA OBS.                          ,ES,+40:57:23,-005:39:41,  775
 3957,HIERRO/AEROPUERTO                       ,ES,+27:49:08,-017:53:20,   32
 3958,LA PALMA/AEROPUERTO                     ,ES,+28:37:59,-017:45:18,   33
 3959,STA. CRUZ DE TENERIFE                   ,ES,+28:27:47,-016:15:19,   35
 3960,TENERIFE/SUR                            ,ES,+28:02:51,-016:33:38,   64
 3961,SEGOVIA                                 ,ES,+40:56:52,-004:07:37, 1005
 3962,SEGOVIA (MARIANO QUINTANILLA)           ,ES,+40:56:52,-004:06:55,  990
 3963,MORON DE LA FRONTERA                    ,ES,+37:09:29,-005:36:56,   87
 3964,CALAMOCHA                               ,ES,+40:55:33,-001:17:35,  890
 3965,CALAMOCHA-VOR                           ,ES,+40:51:55,-001:18:16,  932
 3966,TERUEL                                  ,ES,+40:20:58,-001:07:00,  900
 3967,TOLEDO                                  ,ES,+39:53:04,-004:02:57,  515
 3968,TOLEDO LORENZANA                        ,ES,+39:51:39,-004:01:24,  540
 3969,VALENCIA/AEROPUERTO                     ,ES,+39:29:12,-000:28:23,   69
 3970,VALLADOLID (VILLANUBLA)                 ,ES,+41:42:00,-004:51:00,  846
 3971,DAROCA                                  ,ES,+41:06:52,-001:24:38,  779
 3986,LEUCHTTURM ALTE WESER                   ,DE,+53:51:47,+008:07:39,   32
 3987,FELDBERG/SCHWARZWALD                    ,DE,+47:52:32,+008:00:16, 1490
 3988,FREUDENSTADT                            ,DE,+48:27:16,+008:24:36,  797
 3989,AACHEN-ORSBACH                          ,DE,+50:47:57,+006:01:30,  231
 3990,GERA-LEUMNITZ                           ,DE,+50:52:55,+012:07:48,  311
 3991,GIESSEN/WETTENBERG                      ,DE,+50:36:03,+008:39:02,  203
 3992,ANGERMUNDE                              ,DE,+53:01:59,+013:59:35,   54
