EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 FG   : Wind speed in 0.1 m/s
30-34 Q_FG : quality code for FG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station CORDOBA AEROPUERTO, SPAIN (STAID: 337)
Blended and updated with sources:20051 908410 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   FG, Q_FG
   337, 20051,19600505,-9999,    9
   337, 20051,19600506,-9999,    9
   337, 20051,19600507,-9999,    9
   337, 20051,19600508,-9999,    9
   337, 20051,19600509,-9999,    9
   337, 20051,19600510,-9999,    9
   337, 20051,19600511,-9999,    9
   337, 20051,19600512,-9999,    9
   337, 20051,19600513,-9999,    9
   337, 20051,19600514,-9999,    9
   337, 20051,19600515,-9999,    9
   337, 20051,19600516,-9999,    9
   337, 20051,19600517,-9999,    9
   337, 20051,19600518,-9999,    9
   337, 20051,19600519,-9999,    9
   337, 20051,19600520,-9999,    9
   337, 20051,19600521,-9999,    9
   337, 20051,19600522,-9999,    9
   337, 20051,19600523,-9999,    9
   337, 20051,19600524,-9999,    9
   337, 20051,19600525,-9999,    9
   337, 20051,19600526,-9999,    9
   337, 20051,19600527,-9999,    9
   337, 20051,19600528,-9999,    9
   337, 20051,19600529,-9999,    9
   337, 20051,19600530,-9999,    9
   337, 20051,19600531,-9999,    9
   337, 20051,19600601,-9999,    9
   337, 20051,19600602,-9999,    9
   337, 20051,19600603,-9999,    9
   337, 20051,19600604,-9999,    9
   337, 20051,19600605,-9999,    9
   337, 20051,19600606,-9999,    9
   337, 20051,19600607,-9999,    9
   337, 20051,19600608,-9999,    9
   337, 20051,19600609,-9999,    9
   337, 20051,19600610,-9999,    9
   337, 20051,19600611,-9999,    9
   337, 20051,19600612,-9999,    9
   337, 20051,19600613,-9999,    9
   337, 20051,19600614,-9999,    9
   337, 20051,19600615,-9999,    9
   337, 20051,19600616,-9999,    9
   337, 20051,19600617,-9999,    9
   337, 20051,19600618,-9999,    9
   337, 20051,19600619,-9999,    9
   337, 20051,19600620,-9999,    9
   337, 20051,19600621,-9999,    9
   337, 20051,19600622,-9999,    9
   337, 20051,19600623,-9999,    9
   337, 20051,19600624,-9999,    9
   337, 20051,19600625,-9999,    9
   337, 20051,19600626,-9999,    9
   337, 20051,19600627,-9999,    9
   337, 20051,19600628,-9999,    9
   337, 20051,19600629,-9999,    9
   337, 20051,19600630,-9999,    9
   337, 20051,19600701,-9999,    9
   337, 20051,19600702,-9999,    9
   337, 20051,19600703,-9999,    9
   337, 20051,19600704,-9999,    9
   337, 20051,19600705,-9999,    9
   337, 20051,19600706,-9999,    9
   337, 20051,19600707,-9999,    9
   337, 20051,19600708,-9999,    9
   337, 20051,19600709,-9999,    9
   337, 20051,19600710,-9999,    9
   337, 20051,19600711,-9999,    9
   337, 20051,19600712,-9999,    9
   337, 20051,19600713,-9999,    9
