EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

 01- 05 STAID  : Station identifier
 07- 12 SOUID  : Source identifier
 14- 53 SOUNAME: Source name
 55- 56 CN     : Country code (ISO3116 country codes)
 58- 66 LAT    : Latitude in degrees:minutes:seconds (+: North, -: South)
 68- 77 LON    : Longitude in degrees:minutes:seconds (+: East, -: West)
 79- 82 HGTH   : Station elevation in meters
 84- 87 ELEI   : Element identifier (see website at Daily Data > Data dictionary > Elements)
 89- 96 START  : Begin date YYYYMMDD
 98-105 STOP   : End date YYYYMMDD
107-111 PARID  : Participant identifier
113-163 PARNAME: Participant name

STAID, SOUID,SOUNAME                                 ,CN,      LAT,       LON,HGHT,ELEI,   START,    STOP,PARID,PARNAME
  231,908482,MALAGA/AEROPUERTO                       ,ES,+36:40:00,-004:28:59,   7, FG5,19800101,20190430,    -,Synoptical message from GTS
  232,115615,NAVACERRADA                             ,ES,+40:46:50,-004:00:37,1894, FG6,19610101,20190430,   31,Antonio Mestre Barcelo                            
  232,908215,NAVACERRADA                             ,ES,+40:46:59,-004:01:00,1888, FG5,19800227,20190430,    -,Synoptical message from GTS
  233,115617,SALAMANCA AEROPUERTO                    ,ES,+40:57:33,-005:29:53, 790, FG6,19610101,20190430,   31,Antonio Mestre Barcelo                            
  233,908202,SALAMANCA/MATACAN                       ,ES,+40:57:00,-005:30:00, 794, FG5,19800101,20190430,    -,Synoptical message from GTS
  234,115619,SAN SEBASTIAN - IGUELDO                 ,ES,+43:18:27,-002:02:21, 251, FG6,19330101,20190430,   31,Antonio Mestre Barcelo                            
  234,908027,SAN SEBASTIAN/IGUELDO                   ,ES,+43:18:00,-002:01:59, 259, FG5,19800101,20190430,    -,Synoptical message from GTS
  236,115621,TORTOSA - OBSERVATORIO DEL EBRO         ,ES,+40:49:14,+000:29:29,  44, FG6,19420102,20190430,   31,Antonio Mestre Barcelo                            
  236,155241,TORTOSA - OBSERVATORIO DEL EBRO         ,ES,+40:49:14,+000:29:29,  44, FG6,19420102,20120831,   63,Marc Prohom                                       
  236,908238,TORTOSA                                 ,ES,+40:49:00,+000:30:00,  50, FG5,19800101,20190430,    -,Synoptical message from GTS
  237,115623,VALENCIA                                ,ES,+39:28:50,-000:21:59,  11, FG6,19380101,20120229,   31,Antonio Mestre Barcelo                            
  237,908285,VALENCIA                                ,ES,+39:28:59,-000:22:59,  11, FG5,19820303,20120229,    -,Synoptical message from GTS
  238,115625,ZARAGOZA AEROPUERTO                     ,ES,+41:39:42,-001:00:29, 247, FG6,19420510,20190430,   31,Antonio Mestre Barcelo                            
  238,908160,ZARAGOZA/AEROPUERTO                     ,ES,+41:40:00,-001:00:00, 258, FG5,19800101,20190430,    -,Synoptical message from GTS
  264,114697,OKSOEY FYR                              ,NO,+58:04:00,+008:03:02,   9, FG2,19510101,20190430,   22,Hans Olav Hygen                                   
  264,901448,OKSOY LH                                ,NO,+58:04:00,+008:03:00,   8, FG5,19800101,20190430,    -,Synoptical message from GTS
  265,114640,BERGEN FLORIDA                          ,NO,+60:22:59,+005:19:59,  12, FG2,19570101,20190430,   22,Hans Olav Hygen                                   
  265,901317,BERGEN/FLORIDA                          ,NO,+60:22:59,+005:19:59,  36, FG5,19800101,20190430,    -,Synoptical message from GTS
  266,114634,BODOE VI                                ,NO,+67:16:01,+014:21:32,  11, FG2,19570101,20190430,   22,Hans Olav Hygen                                   
  266,901152,BODO VI                                 ,NO,+67:16:00,+014:22:00,  13, FG5,19800101,20190430,    -,Synoptical message from GTS
  268,115603,VORU                                    ,EE,+57:50:45,+027:01:09,  82, FG5,19660101,20151231,   39,Kaupo Mandla                                      
  268,926249,VORU                                    ,EE,+57:51:00,+027:01:00,  83, FG5,19960814,20190430,    -,Synoptical message from GTS
  269,115597,VILSANDI                                ,EE,+58:22:59,+021:48:55,   6, FG5,19660101,20151231,   39,Kaupo Mandla                                      
  269,926214,VILSANDI                                ,EE,+58:22:59,+021:49:00,   6, FG5,19960814,20190430,    -,Synoptical message from GTS
  299,147544,TASIILAQ                                ,GL,+65:35:59,-037:37:59,  50, FG1,19580101,20170803,   45,Claus Kern-Hansen                                 
  299,904360,TASIILAQ                                ,GL,+65:35:58,-037:37:59,  52, FG5,19800101,20190430,    -,Synoptical message from GTS
  306,147004,ILULISSAT MITTARFIK                     ,GL,+69:13:59,-051:04:00,  29, FG1,19910824,20171231,   45,Claus Kern-Hansen                                 
  309,115605,ALICANTE EL ALTET                       ,ES,+38:16:58,-000:34:14,  43, FG6,19670101,20190430,   31,Antonio Mestre Barcelo                            
  309,908360,ALICANTE/EL ALTET                       ,ES,+38:16:59,-000:33:00,  31, FG5,19800101,20190430,    -,Synoptical message from GTS
  322,175653,RENNES-ST JACQUES                       ,FR,+48:04:08,-001:44:02,  36,FG12,19450101,20171231,   10,Jean-Michel Soubeyroux                            
  322,907130,RENNES-SAINT JACQUES                    ,FR,+48:04:00,-001:43:59,  43, FG5,19800101,20190430,    -,Synoptical message from GTS
  323,176126,STRASBOURG-ENTZHEIM                     ,FR,+48:32:57,+007:38:25, 150,FG12,19450601,20171231,   10,Jean-Michel Soubeyroux                            
  323,907190,STRASBOURG-ENTZHEIM                     ,FR,+48:33:00,+007:37:59, 154, FG5,19800101,20190430,    -,Synoptical message from GTS
  324,115671,LINDENBERG                              ,DE,+52:12:34,+014:07:13,  98, FG7,19510101,20190430,   11,National Climate Data Center (DWD)                
  324,910393,LINDENBERG                              ,DE,+52:13:00,+014:07:00, 104, FG5,19911101,20190430,    -,Synoptical message from GTS
  328,114631,TROMSO                                  ,NO,+69:39:14,+018:55:41, 100, FG2,19510101,20190430,   22,Hans Olav Hygen                                   
  328,901026,TROMSO                                  ,NO,+69:39:00,+018:55:59, 115, FG5,19960928,20190430,    -,Synoptical message from GTS
  329,114712,ONA                                     ,NO,+62:52:00,+006:33:00,  11, FG2,19510101,19630331,   22,Hans Olav Hygen                                   
  329,114715,ONA HUSOY                               ,NO,+62:52:00,+006:31:59,   8, FG2,19630501,19780630,   22,Hans Olav Hygen                                   
